,state,date,Gst ( goods and service tax ) payers registered,Payer eligible for gst ( goods and service tax ) registration,Gst ( goods and service tax ) return type
2232,west bengal,2021-09-01,549438.0,628364.0,GSTR-1
2233,west bengal,2021-09-01,576891.0,628364.0,GSTR-3
2234,west bengal,2021-10-01,316730.0,375124.0,GSTR-1
2235,west bengal,2021-10-01,330922.0,375124.0,GSTR-3
2236,west bengal,2021-11-01,321866.0,368781.0,GSTR-1
2237,west bengal,2021-11-01,335149.0,368781.0,GSTR-3
2238,west bengal,2021-12-01,558461.0,617418.0,GSTR-1
2239,west bengal,2021-12-01,584115.0,617418.0,GSTR-3
2240,west bengal,2022-01-01,322686.0,357852.0,GSTR-1
2241,west bengal,2022-01-01,335069.0,357852.0,GSTR-3
2242,west bengal,2022-02-01,325337.0,359943.0,GSTR-1
2243,west bengal,2022-02-01,338198.0,359943.0,GSTR-3
2244,west bengal,2022-03-01,555610.0,622234.0,GSTR-1
2245,west bengal,2022-03-01,582008.0,622234.0,GSTR-3
2246,west bengal,2022-04-01,319934.0,364360.0,GSTR-1
2247,west bengal,2022-04-01,332334.0,364360.0,GSTR-3
2248,west bengal,2022-05-01,313171.0,368904.0,GSTR-1
2249,west bengal,2022-05-01,322967.0,368904.0,GSTR-3
2250,jharkhand,2017-07-01,75914.0,82880.0,GSTR-1
2251,jharkhand,2017-07-01,80564.0,82880.0,GSTR-3
2252,jharkhand,2017-08-01,90655.0,95439.0,GSTR-3
2253,jharkhand,2017-09-01,90605.0,100685.0,GSTR-1
2254,jharkhand,2017-09-01,96322.0,100685.0,GSTR-3
2255,jharkhand,2017-10-01,38171.0,44777.0,GSTR-1
2256,jharkhand,2017-10-01,95875.0,101040.0,GSTR-3
2257,jharkhand,2017-11-01,39370.0,45978.0,GSTR-1
2258,lakshadweep,2017-12-01,154.0,253.0,GSTR-1
2259,jharkhand,2017-11-01,98484.0,104889.0,GSTR-3
2260,jharkhand,2017-12-01,97343.0,108087.0,GSTR-1
2261,jharkhand,2017-12-01,100945.0,108087.0,GSTR-3
2262,jharkhand,2018-01-01,40440.0,47997.0,GSTR-1
2263,jharkhand,2018-01-01,103715.0,111749.0,GSTR-3
2264,jharkhand,2018-02-01,41001.0,48997.0,GSTR-1
2265,lakshadweep,2017-12-01,166.0,253.0,GSTR-3
2266,jharkhand,2018-02-01,106560.0,115174.0,GSTR-3
2267,jharkhand,2018-03-01,103229.0,117217.0,GSTR-1
2268,jharkhand,2018-03-01,108310.0,117217.0,GSTR-3
2269,jharkhand,2018-04-01,43353.0,63614.0,GSTR-1
2270,jharkhand,2018-04-01,110464.0,120029.0,GSTR-3
2271,jharkhand,2018-05-01,44090.0,66074.0,GSTR-1
2272,jharkhand,2018-05-01,112971.0,124262.0,GSTR-3
2273,jharkhand,2018-06-01,109427.0,127212.0,GSTR-1
2274,jharkhand,2018-06-01,114698.0,127212.0,GSTR-3
2275,jharkhand,2018-07-01,45121.0,67228.0,GSTR-1
2276,jharkhand,2018-07-01,116577.0,129431.0,GSTR-3
2277,jharkhand,2018-08-01,45493.0,66395.0,GSTR-1
2278,jharkhand,2018-08-01,118448.0,131933.0,GSTR-3
2279,jharkhand,2018-09-01,114011.0,133208.0,GSTR-1
2280,jharkhand,2018-09-01,119790.0,133208.0,GSTR-3
2281,jharkhand,2018-10-01,46357.0,65284.0,GSTR-1
2282,jharkhand,2018-10-01,121639.0,135208.0,GSTR-3
2283,jharkhand,2018-11-01,46602.0,65226.0,GSTR-1
2284,jharkhand,2018-11-01,121695.0,137094.0,GSTR-3
2285,jharkhand,2018-12-01,117948.0,139370.0,GSTR-1
2286,jharkhand,2018-12-01,123536.0,139370.0,GSTR-3
2287,jharkhand,2019-01-01,47404.0,64786.0,GSTR-1
2288,jharkhand,2019-01-01,125070.0,141663.0,GSTR-3
2289,jharkhand,2019-02-01,47540.0,64329.0,GSTR-1
2290,jharkhand,2019-02-01,126418.0,143606.0,GSTR-3
2291,jharkhand,2019-03-01,121013.0,146064.0,GSTR-1
2292,jharkhand,2019-03-01,127637.0,146064.0,GSTR-3
2293,jharkhand,2019-04-01,50688.0,88905.0,GSTR-1
2294,jharkhand,2019-04-01,127183.0,147229.0,GSTR-3
2295,jharkhand,2019-05-01,50959.0,85852.0,GSTR-1
2296,jharkhand,2019-05-01,128020.0,148553.0,GSTR-3
2297,jharkhand,2019-06-01,123579.0,149800.0,GSTR-1
2298,jharkhand,2019-06-01,128831.0,149800.0,GSTR-3
2299,jharkhand,2019-07-01,51645.0,79004.0,GSTR-1
2300,jharkhand,2019-07-01,130145.0,151023.0,GSTR-3
2301,jharkhand,2019-08-01,52036.0,76321.0,GSTR-1
2302,jharkhand,2019-08-01,131264.0,151285.0,GSTR-3
2303,jharkhand,2019-09-01,127061.0,151326.0,GSTR-1
2304,jharkhand,2019-09-01,132356.0,151326.0,GSTR-3
2305,jharkhand,2019-10-01,53171.0,73311.0,GSTR-1
2306,jharkhand,2019-10-01,133751.0,151778.0,GSTR-3
2307,jharkhand,2019-11-01,53390.0,67502.0,GSTR-1
2308,jharkhand,2019-11-01,134615.0,148226.0,GSTR-3
2309,jharkhand,2019-12-01,128946.0,147404.0,GSTR-1
2310,jharkhand,2019-12-01,135310.0,147404.0,GSTR-3
2311,jharkhand,2020-01-01,53713.0,63116.0,GSTR-1
2312,jharkhand,2020-01-01,136133.0,144908.0,GSTR-3
2313,jharkhand,2020-02-01,53390.0,59716.0,GSTR-1
2314,jharkhand,2020-02-01,136903.0,142935.0,GSTR-3
2315,jharkhand,2020-03-01,126976.0,143561.0,GSTR-1
2316,jharkhand,2020-03-01,137377.0,143561.0,GSTR-3
2317,jharkhand,2020-04-01,57451.0,143166.0,GSTR-1
2318,jharkhand,2020-04-01,135983.0,143479.0,GSTR-3
2319,jharkhand,2020-05-01,57524.0,131410.0,GSTR-1
2320,jharkhand,2020-05-01,136071.0,143225.0,GSTR-3
2321,jharkhand,2020-06-01,128560.0,144577.0,GSTR-1
2322,jharkhand,2020-06-01,137058.0,144577.0,GSTR-3
2323,jharkhand,2020-07-01,58719.0,86442.0,GSTR-1
2324,jharkhand,2020-07-01,139217.0,147922.0,GSTR-3
2325,jharkhand,2020-08-01,59215.0,83687.0,GSTR-1
2326,lakshadweep,2018-01-01,85.0,185.0,GSTR-1
2327,jharkhand,2020-08-01,140785.0,150500.0,GSTR-3
2328,jharkhand,2020-09-01,132541.0,153397.0,GSTR-1
2329,jharkhand,2020-09-01,142048.0,153397.0,GSTR-3
2330,jharkhand,2020-10-01,60308.0,79643.0,GSTR-1
2331,jharkhand,2020-10-01,143439.0,155748.0,GSTR-3
2332,jharkhand,2020-11-01,61156.0,78780.0,GSTR-1
2333,jharkhand,2020-11-01,144845.0,156900.0,GSTR-3
2334,jharkhand,2020-12-01,137187.0,155521.0,GSTR-1
2335,jharkhand,2020-12-01,146244.0,155521.0,GSTR-3
2336,jharkhand,2021-01-01,82658.0,96040.0,GSTR-1
2337,jharkhand,2021-01-01,87732.0,96011.0,GSTR-3
2338,jharkhand,2021-02-01,84039.0,92820.0,GSTR-1
2339,jharkhand,2021-02-01,89071.0,92769.0,GSTR-3
2340,jharkhand,2021-03-01,141997.0,153057.0,GSTR-1
2341,jharkhand,2021-03-01,149296.0,153057.0,GSTR-3
2342,jharkhand,2021-04-01,100028.0,108412.0,GSTR-1
2343,jharkhand,2021-04-01,104243.0,108412.0,GSTR-3
2344,jharkhand,2021-05-01,99844.0,108534.0,GSTR-1
2345,jharkhand,2021-05-01,104199.0,108534.0,GSTR-3
2346,jharkhand,2021-06-01,143159.0,155259.0,GSTR-1
2347,jharkhand,2021-06-01,149457.0,155259.0,GSTR-3
2348,jharkhand,2021-07-01,101933.0,111838.0,GSTR-1
2349,jharkhand,2021-07-01,106181.0,111838.0,GSTR-3
2350,jharkhand,2021-08-01,103026.0,113722.0,GSTR-1
2351,jharkhand,2021-08-01,107676.0,113722.0,GSTR-3
2352,jharkhand,2021-09-01,146100.0,160157.0,GSTR-1
2353,jharkhand,2021-09-01,152869.0,160157.0,GSTR-3
2354,jharkhand,2021-10-01,103943.0,115309.0,GSTR-1
2355,jharkhand,2021-10-01,108593.0,115309.0,GSTR-3
2356,jharkhand,2021-11-01,105291.0,116530.0,GSTR-1
2357,jharkhand,2021-11-01,109521.0,116530.0,GSTR-3
2358,jharkhand,2021-12-01,149002.0,164389.0,GSTR-1
2359,jharkhand,2021-12-01,154775.0,164389.0,GSTR-3
2360,jharkhand,2022-01-01,106298.0,118862.0,GSTR-1
2361,jharkhand,2022-01-01,110485.0,118862.0,GSTR-3
2362,jharkhand,2022-02-01,106986.0,119046.0,GSTR-1
2363,jharkhand,2022-02-01,111177.0,119046.0,GSTR-3
2364,jharkhand,2022-03-01,147346.0,167253.0,GSTR-1
2365,jharkhand,2022-03-01,153904.0,167253.0,GSTR-3
2366,jharkhand,2022-04-01,104356.0,120558.0,GSTR-1
2367,jharkhand,2022-04-01,108553.0,120558.0,GSTR-3
2368,jharkhand,2022-05-01,100660.0,121339.0,GSTR-1
2369,jharkhand,2022-05-01,104112.0,121339.0,GSTR-3
2370,odisha,2017-07-01,122370.0,139875.0,GSTR-1
2371,odisha,2017-07-01,134955.0,139875.0,GSTR-3
2372,odisha,2017-08-01,43135.0,57678.0,GSTR-1
2373,odisha,2017-08-01,145665.0,154796.0,GSTR-3
2374,odisha,2017-09-01,138830.0,162133.0,GSTR-1
2375,lakshadweep,2018-01-01,168.0,257.0,GSTR-3
2376,odisha,2017-09-01,151940.0,162133.0,GSTR-3
2377,odisha,2017-10-01,44940.0,59901.0,GSTR-1
2378,odisha,2017-10-01,146425.0,159167.0,GSTR-3
2379,odisha,2017-11-01,46259.0,61437.0,GSTR-1
2380,odisha,2017-11-01,148947.0,164732.0,GSTR-3
2381,odisha,2017-12-01,142875.0,168723.0,GSTR-1
2382,chhattisgarh,2020-08-01,42624.0,62560.0,GSTR-1
2383,odisha,2017-12-01,151547.0,168723.0,GSTR-3
2384,odisha,2018-01-01,47012.0,64080.0,GSTR-1
2385,odisha,2018-01-01,155453.0,174193.0,GSTR-3
2386,odisha,2018-02-01,47521.0,65194.0,GSTR-1
2387,odisha,2018-02-01,158952.0,178748.0,GSTR-3
2388,odisha,2018-03-01,151545.0,183516.0,GSTR-1
2389,lakshadweep,2018-02-01,82.0,187.0,GSTR-1
2390,odisha,2018-03-01,162228.0,183516.0,GSTR-3
2391,odisha,2018-04-01,53090.0,94847.0,GSTR-1
2392,odisha,2018-04-01,165665.0,186559.0,GSTR-3
2393,odisha,2018-05-01,54047.0,100711.0,GSTR-1
2394,odisha,2018-05-01,169807.0,195689.0,GSTR-3
2395,odisha,2018-06-01,160966.0,200801.0,GSTR-1
2396,lakshadweep,2018-02-01,164.0,260.0,GSTR-3
2397,odisha,2018-06-01,172821.0,200801.0,GSTR-3
2398,odisha,2018-07-01,55684.0,104405.0,GSTR-1
2399,odisha,2018-07-01,176521.0,205957.0,GSTR-3
2400,odisha,2018-08-01,56325.0,103393.0,GSTR-1
2401,odisha,2018-08-01,180041.0,211137.0,GSTR-3
2402,odisha,2018-09-01,169945.0,214949.0,GSTR-1
2403,lakshadweep,2018-03-01,155.0,265.0,GSTR-1
2404,odisha,2018-09-01,182925.0,214949.0,GSTR-3
2405,odisha,2018-10-01,57601.0,102459.0,GSTR-1
2406,odisha,2018-10-01,185913.0,218841.0,GSTR-3
2407,odisha,2018-11-01,57976.0,101956.0,GSTR-1
2408,odisha,2018-11-01,185732.0,222034.0,GSTR-3
2409,odisha,2018-12-01,175462.0,223141.0,GSTR-1
2410,odisha,2018-12-01,188212.0,223141.0,GSTR-3
2411,odisha,2019-01-01,59432.0,91341.0,GSTR-1
2412,odisha,2019-01-01,190503.0,220757.0,GSTR-3
2413,odisha,2019-02-01,59595.0,85107.0,GSTR-1
2414,odisha,2019-02-01,192267.0,218783.0,GSTR-3
2415,odisha,2019-03-01,178754.0,218115.0,GSTR-1
2416,lakshadweep,2018-03-01,170.0,265.0,GSTR-3
2417,odisha,2019-03-01,193613.0,218115.0,GSTR-3
2418,odisha,2019-04-01,66090.0,162206.0,GSTR-1
2419,odisha,2019-04-01,192913.0,219024.0,GSTR-3
2420,odisha,2019-05-01,66429.0,149172.0,GSTR-1
2421,odisha,2019-05-01,194524.0,219645.0,GSTR-3
2422,odisha,2019-06-01,182788.0,219769.0,GSTR-1
2423,chhattisgarh,2022-05-01,59719.0,75353.0,GSTR-3
2424,odisha,2019-06-01,195470.0,219769.0,GSTR-3
2425,odisha,2019-07-01,67542.0,104974.0,GSTR-1
2426,odisha,2019-07-01,197634.0,219972.0,GSTR-3
2427,odisha,2019-08-01,68105.0,99843.0,GSTR-1
2428,odisha,2019-08-01,199679.0,220124.0,GSTR-3
2429,odisha,2019-09-01,188738.0,220841.0,GSTR-1
2430,goa,2018-01-01,10318.0,11769.0,GSTR-1
2431,odisha,2019-09-01,201813.0,220841.0,GSTR-3
2432,odisha,2019-10-01,69601.0,96497.0,GSTR-1
2433,odisha,2019-10-01,204071.0,221583.0,GSTR-3
2434,odisha,2019-11-01,70627.0,92661.0,GSTR-1
2435,odisha,2019-11-01,206889.0,221270.0,GSTR-3
2436,odisha,2019-12-01,193873.0,222288.0,GSTR-1
2437,odisha,2019-12-01,209942.0,222288.0,GSTR-3
2438,odisha,2020-01-01,71215.0,91315.0,GSTR-1
2439,odisha,2020-01-01,211963.0,223595.0,GSTR-3
2440,odisha,2020-02-01,71323.0,88358.0,GSTR-1
2441,odisha,2020-02-01,213825.0,223670.0,GSTR-3
2442,odisha,2020-03-01,190643.0,223069.0,GSTR-1
2443,lakshadweep,2018-04-01,78.0,230.0,GSTR-1
2444,odisha,2020-03-01,214245.0,223069.0,GSTR-3
2445,odisha,2020-04-01,76489.0,222344.0,GSTR-1
2446,odisha,2020-04-01,211988.0,222881.0,GSTR-3
2447,odisha,2020-05-01,76761.0,196739.0,GSTR-1
2448,odisha,2020-05-01,212722.0,223846.0,GSTR-3
2449,odisha,2020-06-01,194398.0,227236.0,GSTR-1
2450,lakshadweep,2018-04-01,171.0,269.0,GSTR-3
2451,odisha,2020-06-01,215144.0,227236.0,GSTR-3
2452,odisha,2020-07-01,78399.0,127114.0,GSTR-1
2453,odisha,2020-07-01,217980.0,232779.0,GSTR-3
2454,odisha,2020-08-01,78943.0,123894.0,GSTR-1
2455,odisha,2020-08-01,220413.0,236990.0,GSTR-3
2456,odisha,2020-09-01,200016.0,242455.0,GSTR-1
2457,lakshadweep,2018-05-01,76.0,232.0,GSTR-1
2458,odisha,2020-09-01,223058.0,242455.0,GSTR-3
2459,odisha,2020-10-01,80907.0,117700.0,GSTR-1
2460,odisha,2020-10-01,225956.0,245898.0,GSTR-3
2461,odisha,2020-11-01,82039.0,115490.0,GSTR-1
2462,odisha,2020-11-01,229056.0,247799.0,GSTR-3
2463,odisha,2020-12-01,208724.0,248265.0,GSTR-1
2464,odisha,2020-12-01,232074.0,248265.0,GSTR-3
2465,odisha,2021-01-01,108681.0,136681.0,GSTR-1
2466,odisha,2021-01-01,120599.0,136662.0,GSTR-3
2467,odisha,2021-02-01,111396.0,130520.0,GSTR-1
2468,odisha,2021-02-01,123460.0,130439.0,GSTR-3
2469,odisha,2021-03-01,217596.0,245647.0,GSTR-1
2470,lakshadweep,2018-05-01,172.0,272.0,GSTR-3
2471,odisha,2021-03-01,238375.0,245647.0,GSTR-3
2472,odisha,2021-04-01,132007.0,149317.0,GSTR-1
2473,odisha,2021-04-01,142343.0,149317.0,GSTR-3
2474,odisha,2021-05-01,132509.0,149659.0,GSTR-1
2475,odisha,2021-05-01,143060.0,149659.0,GSTR-3
2476,odisha,2021-06-01,221145.0,249952.0,GSTR-1
2477,lakshadweep,2018-06-01,160.0,277.0,GSTR-1
2478,odisha,2021-06-01,240193.0,249952.0,GSTR-3
2479,odisha,2021-07-01,132038.0,151431.0,GSTR-1
2480,odisha,2021-07-01,142051.0,151431.0,GSTR-3
2481,odisha,2021-08-01,134644.0,154416.0,GSTR-1
2482,odisha,2021-08-01,145365.0,154416.0,GSTR-3
2483,odisha,2021-09-01,226835.0,259264.0,GSTR-1
2484,lakshadweep,2018-06-01,173.0,277.0,GSTR-3
2485,odisha,2021-09-01,246018.0,259264.0,GSTR-3
2486,odisha,2021-10-01,132866.0,153178.0,GSTR-1
2487,odisha,2021-10-01,142649.0,153178.0,GSTR-3
2488,odisha,2021-11-01,136190.0,156106.0,GSTR-1
2489,odisha,2021-11-01,145496.0,156106.0,GSTR-3
2490,odisha,2021-12-01,232921.0,266513.0,GSTR-1
2491,odisha,2021-12-01,250075.0,266513.0,GSTR-3
2492,odisha,2022-01-01,135987.0,155103.0,GSTR-1
2493,odisha,2022-01-01,144475.0,155103.0,GSTR-3
2494,odisha,2022-02-01,137121.0,156855.0,GSTR-1
2495,odisha,2022-02-01,145982.0,156855.0,GSTR-3
2496,odisha,2022-03-01,228638.0,270589.0,GSTR-1
2497,lakshadweep,2018-07-01,80.0,234.0,GSTR-1
2498,odisha,2022-03-01,246329.0,270589.0,GSTR-3
2499,odisha,2022-04-01,131709.0,158626.0,GSTR-1
2500,odisha,2022-04-01,139644.0,158626.0,GSTR-3
2501,odisha,2022-05-01,127035.0,160653.0,GSTR-1
2502,odisha,2022-05-01,134331.0,160653.0,GSTR-3
2503,chhattisgarh,2017-07-01,72186.0,83399.0,GSTR-1
2504,lakshadweep,2018-07-01,173.0,279.0,GSTR-3
2505,chhattisgarh,2017-07-01,79148.0,83399.0,GSTR-3
2506,chhattisgarh,2017-08-01,29076.0,37862.0,GSTR-1
2507,chhattisgarh,2017-08-01,84990.0,90219.0,GSTR-3
2508,chhattisgarh,2017-09-01,80771.0,93983.0,GSTR-1
2509,chhattisgarh,2017-09-01,88290.0,93983.0,GSTR-3
2510,chhattisgarh,2017-10-01,29867.0,36736.0,GSTR-1
2511,lakshadweep,2018-08-01,79.0,232.0,GSTR-1
2512,chhattisgarh,2017-10-01,81886.0,87850.0,GSTR-3
2513,chhattisgarh,2017-11-01,30528.0,37342.0,GSTR-1
2514,chhattisgarh,2017-11-01,82563.0,90015.0,GSTR-3
2515,chhattisgarh,2017-12-01,79223.0,90937.0,GSTR-1
2516,chhattisgarh,2017-12-01,83065.0,90937.0,GSTR-3
2517,chhattisgarh,2018-01-01,30474.0,37890.0,GSTR-1
2518,lakshadweep,2018-08-01,173.0,280.0,GSTR-3
2519,chhattisgarh,2018-01-01,84044.0,92590.0,GSTR-3
2520,chhattisgarh,2018-02-01,30569.0,37957.0,GSTR-1
2521,chhattisgarh,2018-02-01,84846.0,93525.0,GSTR-3
2522,chhattisgarh,2018-03-01,81249.0,94349.0,GSTR-1
2523,chhattisgarh,2018-03-01,85479.0,94349.0,GSTR-3
2524,chhattisgarh,2018-04-01,32325.0,50487.0,GSTR-1
2525,lakshadweep,2018-09-01,162.0,281.0,GSTR-1
2526,chhattisgarh,2018-04-01,86395.0,94342.0,GSTR-3
2527,chhattisgarh,2018-05-01,32661.0,53177.0,GSTR-1
2528,chhattisgarh,2018-05-01,87687.0,98062.0,GSTR-3
2529,chhattisgarh,2018-06-01,84852.0,98284.0,GSTR-1
2530,chhattisgarh,2018-06-01,89015.0,98284.0,GSTR-3
2531,chhattisgarh,2018-07-01,33228.0,50949.0,GSTR-1
2532,lakshadweep,2018-09-01,175.0,281.0,GSTR-3
2533,chhattisgarh,2018-07-01,90282.0,99303.0,GSTR-3
2534,chhattisgarh,2018-08-01,33354.0,49380.0,GSTR-1
2535,chhattisgarh,2018-08-01,91407.0,100790.0,GSTR-3
2536,chhattisgarh,2018-09-01,87952.0,101382.0,GSTR-1
2537,chhattisgarh,2018-09-01,92350.0,101382.0,GSTR-3
2538,chhattisgarh,2018-10-01,33882.0,47462.0,GSTR-1
2539,lakshadweep,2018-10-01,85.0,230.0,GSTR-1
2540,chhattisgarh,2018-10-01,93428.0,101856.0,GSTR-3
2541,chhattisgarh,2018-11-01,33929.0,45806.0,GSTR-1
2542,chhattisgarh,2018-11-01,93059.0,101556.0,GSTR-3
2543,chhattisgarh,2018-12-01,89496.0,101564.0,GSTR-1
2544,chhattisgarh,2018-12-01,93697.0,101564.0,GSTR-3
2545,chhattisgarh,2019-01-01,34203.0,42627.0,GSTR-1
2546,chhattisgarh,2019-01-01,94436.0,99909.0,GSTR-3
2547,chhattisgarh,2019-02-01,34255.0,42175.0,GSTR-1
2548,chhattisgarh,2019-02-01,95193.0,100881.0,GSTR-3
2549,chhattisgarh,2019-03-01,90725.0,102281.0,GSTR-1
2550,chhattisgarh,2019-03-01,95857.0,102281.0,GSTR-3
2551,chhattisgarh,2019-04-01,37268.0,63451.0,GSTR-1
2552,lakshadweep,2018-10-01,177.0,284.0,GSTR-3
2553,chhattisgarh,2019-04-01,95018.0,102946.0,GSTR-3
2554,chhattisgarh,2019-05-01,37455.0,60187.0,GSTR-1
2555,chhattisgarh,2019-05-01,95685.0,103880.0,GSTR-3
2556,chhattisgarh,2019-06-01,92953.0,104773.0,GSTR-1
2557,chhattisgarh,2019-06-01,96325.0,104773.0,GSTR-3
2558,chhattisgarh,2019-07-01,37866.0,53849.0,GSTR-1
2559,lakshadweep,2018-11-01,94.0,228.0,GSTR-1
2560,chhattisgarh,2019-07-01,97206.0,106003.0,GSTR-3
2561,chhattisgarh,2019-08-01,38084.0,52544.0,GSTR-1
2562,chhattisgarh,2019-08-01,97892.0,106926.0,GSTR-3
2563,chhattisgarh,2019-09-01,95262.0,107458.0,GSTR-1
2564,chhattisgarh,2019-09-01,98615.0,107458.0,GSTR-3
2565,chhattisgarh,2019-10-01,38636.0,51279.0,GSTR-1
2566,lakshadweep,2018-11-01,173.0,284.0,GSTR-3
2567,chhattisgarh,2019-10-01,99465.0,107867.0,GSTR-3
2568,chhattisgarh,2019-11-01,38918.0,48984.0,GSTR-1
2569,chhattisgarh,2019-11-01,100190.0,106953.0,GSTR-3
2570,chhattisgarh,2019-12-01,96536.0,105112.0,GSTR-1
2571,chhattisgarh,2019-12-01,100948.0,105112.0,GSTR-3
2572,chhattisgarh,2020-01-01,38697.0,46049.0,GSTR-1
2573,chhattisgarh,2020-01-01,101397.0,104718.0,GSTR-3
2574,chhattisgarh,2020-02-01,38559.0,45889.0,GSTR-1
2575,chhattisgarh,2020-02-01,102007.0,105608.0,GSTR-3
2576,chhattisgarh,2020-03-01,94741.0,107069.0,GSTR-1
2577,chhattisgarh,2020-03-01,102603.0,107069.0,GSTR-3
2578,chhattisgarh,2020-04-01,41400.0,106663.0,GSTR-1
2579,lakshadweep,2018-12-01,147.0,203.0,GSTR-1
2580,chhattisgarh,2020-05-01,41490.0,97781.0,GSTR-1
2581,chhattisgarh,2020-05-01,101342.0,106827.0,GSTR-3
2582,chhattisgarh,2020-06-01,96804.0,107995.0,GSTR-1
2583,chhattisgarh,2020-06-01,102306.0,107995.0,GSTR-3
2584,chhattisgarh,2020-07-01,42348.0,65023.0,GSTR-1
2585,chhattisgarh,2020-07-01,103919.0,110315.0,GSTR-3
2586,lakshadweep,2018-12-01,156.0,203.0,GSTR-3
2587,chhattisgarh,2020-08-01,105054.0,111481.0,GSTR-3
2588,chhattisgarh,2020-09-01,99755.0,113499.0,GSTR-1
2589,chhattisgarh,2020-09-01,105981.0,113499.0,GSTR-3
2590,chhattisgarh,2020-10-01,43177.0,58990.0,GSTR-1
2591,chhattisgarh,2020-10-01,106867.0,114692.0,GSTR-3
2592,chhattisgarh,2020-11-01,43499.0,57896.0,GSTR-1
2593,chhattisgarh,2020-11-01,107798.0,115249.0,GSTR-3
2594,chhattisgarh,2020-12-01,102986.0,115872.0,GSTR-1
2595,chhattisgarh,2020-12-01,109172.0,115872.0,GSTR-3
2596,chhattisgarh,2021-01-01,56028.0,66185.0,GSTR-1
2597,chhattisgarh,2021-01-01,60794.0,66168.0,GSTR-3
2598,chhattisgarh,2021-02-01,58224.0,65739.0,GSTR-1
2599,chhattisgarh,2021-02-01,63039.0,65704.0,GSTR-3
2600,chhattisgarh,2021-03-01,107127.0,116311.0,GSTR-1
2601,chhattisgarh,2021-03-01,113843.0,116311.0,GSTR-3
2602,chhattisgarh,2021-04-01,64824.0,71837.0,GSTR-1
2603,chhattisgarh,2021-04-01,68609.0,71837.0,GSTR-3
2604,chhattisgarh,2021-05-01,64877.0,72505.0,GSTR-1
2605,lakshadweep,2019-01-01,75.0,142.0,GSTR-1
2606,chhattisgarh,2021-05-01,68617.0,72505.0,GSTR-3
2607,chhattisgarh,2021-06-01,108748.0,118891.0,GSTR-1
2608,chhattisgarh,2021-06-01,114505.0,118891.0,GSTR-3
2609,chhattisgarh,2021-07-01,65111.0,72813.0,GSTR-1
2610,chhattisgarh,2021-07-01,68605.0,72813.0,GSTR-3
2611,chhattisgarh,2021-08-01,66566.0,74776.0,GSTR-1
2612,chhattisgarh,2021-08-01,70248.0,74776.0,GSTR-3
2613,chhattisgarh,2021-09-01,112144.0,124489.0,GSTR-1
2614,chhattisgarh,2021-09-01,118348.0,124489.0,GSTR-3
2615,chhattisgarh,2021-10-01,64602.0,73552.0,GSTR-1
2616,chhattisgarh,2021-10-01,67986.0,73552.0,GSTR-3
2617,chhattisgarh,2021-11-01,65456.0,74464.0,GSTR-1
2618,chhattisgarh,2021-11-01,68746.0,74464.0,GSTR-3
2619,chhattisgarh,2021-12-01,113378.0,126646.0,GSTR-1
2620,chhattisgarh,2021-12-01,119544.0,126646.0,GSTR-3
2621,chhattisgarh,2022-01-01,64502.0,72827.0,GSTR-1
2622,chhattisgarh,2022-01-01,67520.0,72827.0,GSTR-3
2623,chhattisgarh,2022-02-01,65506.0,73978.0,GSTR-1
2624,chhattisgarh,2022-02-01,68757.0,73978.0,GSTR-3
2625,chhattisgarh,2022-03-01,109204.0,129555.0,GSTR-1
2626,chhattisgarh,2022-03-01,116414.0,129555.0,GSTR-3
2627,chhattisgarh,2022-04-01,60808.0,74350.0,GSTR-1
2628,chhattisgarh,2022-04-01,63571.0,74350.0,GSTR-3
2629,chhattisgarh,2022-05-01,58025.0,75353.0,GSTR-1
2630,madhya pradesh,2017-07-01,240328.0,257308.0,GSTR-1
2631,madhya pradesh,2017-07-01,255047.0,257308.0,GSTR-3
2632,madhya pradesh,2017-08-01,80085.0,94897.0,GSTR-1
2633,madhya pradesh,2017-08-01,270029.0,276943.0,GSTR-3
2634,madhya pradesh,2017-09-01,265115.0,290350.0,GSTR-1
2635,madhya pradesh,2017-09-01,280869.0,290350.0,GSTR-3
2636,lakshadweep,2019-01-01,153.0,197.0,GSTR-3
2637,madhya pradesh,2017-10-01,82099.0,95518.0,GSTR-1
2638,madhya pradesh,2017-10-01,262764.0,274212.0,GSTR-3
2639,madhya pradesh,2017-11-01,83468.0,97097.0,GSTR-1
2640,madhya pradesh,2017-11-01,265648.0,281366.0,GSTR-3
2641,madhya pradesh,2017-12-01,261444.0,286853.0,GSTR-1
2642,madhya pradesh,2017-12-01,268967.0,286853.0,GSTR-3
2643,lakshadweep,2019-02-01,77.0,144.0,GSTR-1
2644,madhya pradesh,2018-01-01,83951.0,99962.0,GSTR-1
2645,madhya pradesh,2018-01-01,274307.0,294248.0,GSTR-3
2646,madhya pradesh,2018-02-01,84287.0,100963.0,GSTR-1
2647,madhya pradesh,2018-02-01,278649.0,299740.0,GSTR-3
2648,madhya pradesh,2018-03-01,273276.0,304929.0,GSTR-1
2649,madhya pradesh,2018-03-01,282628.0,304929.0,GSTR-3
2650,madhya pradesh,2018-04-01,91513.0,136612.0,GSTR-1
2651,madhya pradesh,2018-04-01,287018.0,307116.0,GSTR-3
2652,madhya pradesh,2018-05-01,92308.0,144590.0,GSTR-1
2653,madhya pradesh,2018-05-01,292146.0,319200.0,GSTR-3
