,State,Payer_Registered_For_GST,Payer_Eligible_For_GST,Start_Date,End_Date
153,Puducherry,15962.375,18396.666666666668,2020-04-01,2021-03-01
154,Puducherry,17011.541666666668,18496.0,2021-04-01,2022-03-01
155,Puducherry,15762.0,17991.5,2022-04-01,2023-03-01
156,Punjab,193774.44444444444,203246.55555555556,2017-04-01,2018-03-01
157,Punjab,205744.25,227405.91666666666,2018-04-01,2019-03-01
158,Punjab,217715.875,241785.875,2019-04-01,2020-03-01
159,Punjab,217245.25,253883.45833333334,2020-04-01,2021-03-01
160,Punjab,204089.3333333333,217464.16666666666,2021-04-01,2022-03-01
161,Punjab,148619.25,166034.5,2022-04-01,2023-03-01
162,Rajasthan,327984.72222222225,345519.05555555556,2017-04-01,2018-03-01
163,Rajasthan,350955.0416666667,406657.3333333333,2018-04-01,2019-03-01
164,Rajasthan,378076.7916666667,434144.2916666667,2019-04-01,2020-03-01
165,Rajasthan,391309.9583333333,457877.7083333333,2020-04-01,2021-03-01
166,Rajasthan,370632.375,385885.8333333333,2021-04-01,2022-03-01
167,Rajasthan,256742.0,286462.0,2022-04-01,2023-03-01
168,Sikkim,3079.5555555555557,3355.0555555555557,2017-04-01,2018-03-01
169,Sikkim,4159.666666666666,4937.083333333333,2018-04-01,2019-03-01
170,Sikkim,5033.208333333334,6221.458333333333,2019-04-01,2020-03-01
171,Sikkim,5235.916666666667,6689.875,2020-04-01,2021-03-01
172,Sikkim,5452.0,6622.333333333333,2021-04-01,2022-03-01
173,Sikkim,4390.25,6080.0,2022-04-01,2023-03-01
174,Tamil Nadu,574901.8333333334,631740.1666666666,2017-04-01,2018-03-01
175,Tamil Nadu,642345.625,784465.1666666666,2018-04-01,2019-03-01
176,Tamil Nadu,703447.75,808653.25,2019-04-01,2020-03-01
177,Tamil Nadu,750677.1666666667,843741.5416666666,2020-04-01,2021-03-01
178,Tamil Nadu,828653.875,880293.5,2021-04-01,2022-03-01
179,Tamil Nadu,791470.0,875349.0,2022-04-01,2023-03-01
180,Telangana,189893.5,211957.16666666666,2017-04-01,2018-03-01
181,Telangana,222074.5,267515.125,2018-04-01,2019-03-01
182,Telangana,250816.4583333333,307369.3333333333,2019-04-01,2020-03-01
183,Telangana,268269.5,338259.1666666667,2020-04-01,2021-03-01
184,Telangana,298081.3333333333,351849.3333333333,2021-04-01,2022-03-01
185,Telangana,271119.0,342043.5,2022-04-01,2023-03-01
186,The Dadra And Nagar Haveli And Daman And Diu,9536.888888888889,10037.944444444445,2017-04-01,2018-03-01
187,The Dadra And Nagar Haveli And Daman And Diu,10306.833333333334,11605.625,2018-04-01,2019-03-01
188,The Dadra And Nagar Haveli And Daman And Diu,10766.958333333334,12000.625,2019-04-01,2020-03-01
189,The Dadra And Nagar Haveli And Daman And Diu,11153.333333333332,13189.416666666666,2020-04-01,2021-03-01
190,The Dadra And Nagar Haveli And Daman And Diu,11596.458333333334,12210.333333333334,2021-04-01,2022-03-01
191,The Dadra And Nagar Haveli And Daman And Diu,10356.5,11604.5,2022-04-01,2023-03-01
192,Tripura,12197.333333333332,13667.666666666666,2017-04-01,2018-03-01
193,Tripura,14330.458333333334,17658.75,2018-04-01,2019-03-01
194,Tripura,16015.416666666666,20028.0,2019-04-01,2020-03-01
195,Tripura,16764.666666666668,21261.25,2020-04-01,2021-03-01
196,Tripura,18434.166666666664,20785.916666666668,2021-04-01,2022-03-01
197,Tripura,15779.25,19127.0,2022-04-01,2023-03-01
198,Uttar Pradesh,634317.4444444445,690100.8888888889,2017-04-01,2018-03-01
199,Uttar Pradesh,711038.375,832947.1666666666,2018-04-01,2019-03-01
200,Uttar Pradesh,775003.625,897678.3333333334,2019-04-01,2020-03-01
201,Uttar Pradesh,818920.0833333333,982358.375,2020-04-01,2021-03-01
202,Uttar Pradesh,893239.7083333333,949677.3333333334,2021-04-01,2022-03-01
203,Uttar Pradesh,756825.5,851152.0,2022-04-01,2023-03-01
204,Uttarakhand,71734.11111111111,80866.5,2017-04-01,2018-03-01
205,Uttarakhand,80075.29166666667,98197.91666666667,2018-04-01,2019-03-01
206,Uttarakhand,87706.29166666666,103774.66666666667,2019-04-01,2020-03-01
207,Uttarakhand,91817.95833333333,111064.5,2020-04-01,2021-03-01
208,Uttarakhand,93965.125,102079.83333333333,2021-04-01,2022-03-01
209,Uttarakhand,71507.5,83778.5,2022-04-01,2023-03-01
210,West Bengal,326279.0,353130.94444444444,2017-04-01,2018-03-01
211,West Bengal,375588.0416666666,437264.3333333333,2018-04-01,2019-03-01
212,West Bengal,411276.7083333334,492672.9166666667,2019-04-01,2020-03-01
213,West Bengal,408896.4166666666,511896.625,2020-04-01,2021-03-01
214,West Bengal,404378.25,455467.5,2021-04-01,2022-03-01
215,West Bengal,322101.5,366632.0,2022-04-01,2023-03-01
