,state,start_date,end_date,Settlement of Integrated goods and services tax ( IGST )
195,tripura,2020-01-01,2021-12-01,49.90931177391667
196,tripura,2021-01-01,2022-12-01,63.812180455416666
197,tripura,2022-01-01,2023-12-01,78.66224602266668
198,uttar pradesh,2017-01-01,2018-12-01,1517.9912124148
199,uttar pradesh,2018-01-01,2019-12-01,1727.9205956006665
200,uttar pradesh,2019-01-01,2020-12-01,1969.4262071266332
201,uttar pradesh,2020-01-01,2021-12-01,1759.9031293995001
202,uttar pradesh,2021-01-01,2022-12-01,2352.6329057264165
203,uttar pradesh,2022-01-01,2023-12-01,2917.7256776351664
204,uttarakhand,2017-01-01,2018-12-01,-1.2698074983999987
205,uttarakhand,2018-01-01,2019-12-01,25.86235841541667
206,uttarakhand,2019-01-01,2020-12-01,51.87262908046667
207,uttarakhand,2020-01-01,2021-12-01,81.32817009966666
208,uttarakhand,2021-01-01,2022-12-01,140.35786221433332
209,uttarakhand,2022-01-01,2023-12-01,179.62845198233333
210,west bengal,2017-01-01,2018-12-01,620.6126686778
211,west bengal,2018-01-01,2019-12-01,754.9744969375834
212,west bengal,2019-01-01,2020-12-01,832.7691005888418
213,west bengal,2020-01-01,2021-12-01,750.9647691786666
214,west bengal,2021-01-01,2022-12-01,967.4824611200834
215,west bengal,2022-01-01,2023-12-01,1153.706305969
