Country,State,State lgd code,Year,Month,Gst ( goods and service tax ) return type,Payer eligible for gst ( goods and service tax ) registration_avg,Payer eligible for gst ( goods and service tax ) registration_max,Payer eligible for gst ( goods and service tax ) registration_min,Payer eligible for gst ( goods and service tax ) registration_sum,Payer eligible for gst ( goods and service tax ) registration_count,Payer eligible for gst ( goods and service tax ) registration_stddev,Payer eligible for gst ( goods and service tax ) registration_LandAreaWeight,Payer eligible for gst ( goods and service tax ) registration_TotalPopulationWeight,Payer eligible for gst ( goods and service tax ) registration_NumberOfHouseholdsWeight,Payer eligible for gst ( goods and service tax ) registration_TotalPopulationMaleWeight,Payer eligible for gst ( goods and service tax ) registration_TotalPopulationFemaleWeight,Gst ( goods and service tax ) payers registered before due date_avg,Gst ( goods and service tax ) payers registered before due date_max,Gst ( goods and service tax ) payers registered before due date_min,Gst ( goods and service tax ) payers registered before due date_sum,Gst ( goods and service tax ) payers registered before due date_count,Gst ( goods and service tax ) payers registered before due date_stddev,Gst ( goods and service tax ) payers registered before due date_LandAreaWeight,Gst ( goods and service tax ) payers registered before due date_TotalPopulationWeight,Gst ( goods and service tax ) payers registered before due date_NumberOfHouseholdsWeight,Gst ( goods and service tax ) payers registered before due date_TotalPopulationMaleWeight,Gst ( goods and service tax ) payers registered before due date_TotalPopulationFemaleWeight,Gst ( goods and service tax ) payers registered after due date_avg,Gst ( goods and service tax ) payers registered after due date_max,Gst ( goods and service tax ) payers registered after due date_min,Gst ( goods and service tax ) payers registered after due date_sum,Gst ( goods and service tax ) payers registered after due date_count,Gst ( goods and service tax ) payers registered after due date_stddev,Gst ( goods and service tax ) payers registered after due date_LandAreaWeight,Gst ( goods and service tax ) payers registered after due date_TotalPopulationWeight,Gst ( goods and service tax ) payers registered after due date_NumberOfHouseholdsWeight,Gst ( goods and service tax ) payers registered after due date_TotalPopulationMaleWeight,Gst ( goods and service tax ) payers registered after due date_TotalPopulationFemaleWeight
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2018","April, 2018",GSTR-1,37744.0,37744,37744,37744,1,,37744.0,37744.0,37744.0,37744.0,37744.0,18332.0,18332,18332,18332,1,,18332.0,18332.0,18332.0,18332.0,18332.0,5805.0,5805,5805,5805,1,,5805.0,5805.0,5805.0,5805.0,5805.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2019","February, 2020",GSTR-3,7399.0,7399,7399,7399,1,,7399.0,7399.0,7399.0,7399.0,7399.0,4302.0,4302,4302,4302,1,,4302.0,4302.0,4302.0,4302.0,4302.0,2261.0,2261,2261,2261,1,,2261.0,2261.0,2261.0,2261.0,2261.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2018","April, 2018",GSTR-3,72923.0,72923,72923,72923,1,,72923.0,72923.0,72923.0,72923.0,72923.0,25835.0,25835,25835,25835,1,,25835.0,25835.0,25835.0,25835.0,25835.0,41984.0,41984,41984,41984,1,,41984.0,41984.0,41984.0,41984.0,41984.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2018","May, 2018",GSTR-1,39310.0,39310,39310,39310,1,,39310.0,39310.0,39310.0,39310.0,39310.0,18212.0,18212,18212,18212,1,,18212.0,18212.0,18212.0,18212.0,18212.0,6301.0,6301,6301,6301,1,,6301.0,6301.0,6301.0,6301.0,6301.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2018","May, 2018",GSTR-3,75470.0,75470,75470,75470,1,,75470.0,75470.0,75470.0,75470.0,75470.0,44513.0,44513,44513,44513,1,,44513.0,44513.0,44513.0,44513.0,44513.0,24949.0,24949,24949,24949,1,,24949.0,24949.0,24949.0,24949.0,24949.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2018","June, 2018",GSTR-1,77492.0,77492,77492,77492,1,,77492.0,77492.0,77492.0,77492.0,77492.0,43970.0,43970,43970,43970,1,,43970.0,43970.0,43970.0,43970.0,43970.0,22121.0,22121,22121,22121,1,,22121.0,22121.0,22121.0,22121.0,22121.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2018","June, 2018",GSTR-3,77492.0,77492,77492,77492,1,,77492.0,77492.0,77492.0,77492.0,77492.0,45901.0,45901,45901,45901,1,,45901.0,45901.0,45901.0,45901.0,45901.0,24642.0,24642,24642,24642,1,,24642.0,24642.0,24642.0,24642.0,24642.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2018","July, 2018",GSTR-1,40446.0,40446,40446,40446,1,,40446.0,40446.0,40446.0,40446.0,40446.0,17243.0,17243,17243,17243,1,,17243.0,17243.0,17243.0,17243.0,17243.0,7839.0,7839,7839,7839,1,,7839.0,7839.0,7839.0,7839.0,7839.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2019","March, 2020",GSTR-1,7508.0,7508,7508,7508,1,,7508.0,7508.0,7508.0,7508.0,7508.0,4045.0,4045,4045,4045,1,,4045.0,4045.0,4045.0,4045.0,4045.0,2109.0,2109,2109,2109,1,,2109.0,2109.0,2109.0,2109.0,2109.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2018","July, 2018",GSTR-3,78995.0,78995,78995,78995,1,,78995.0,78995.0,78995.0,78995.0,78995.0,49998.0,49998,49998,49998,1,,49998.0,49998.0,49998.0,49998.0,49998.0,21774.0,21774,21774,21774,1,,21774.0,21774.0,21774.0,21774.0,21774.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2018","August, 2018",GSTR-1,39808.0,39808,39808,39808,1,,39808.0,39808.0,39808.0,39808.0,39808.0,15775.0,15775,15775,15775,1,,15775.0,15775.0,15775.0,15775.0,15775.0,9497.0,9497,9497,9497,1,,9497.0,9497.0,9497.0,9497.0,9497.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2018","August, 2018",GSTR-3,80214.0,80214,80214,80214,1,,80214.0,80214.0,80214.0,80214.0,80214.0,47009.0,47009,47009,47009,1,,47009.0,47009.0,47009.0,47009.0,47009.0,25830.0,25830,25830,25830,1,,25830.0,25830.0,25830.0,25830.0,25830.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2018","September, 2018",GSTR-1,81069.0,81069,81069,81069,1,,81069.0,81069.0,81069.0,81069.0,81069.0,31358.0,31358,31358,31358,1,,31358.0,31358.0,31358.0,31358.0,31358.0,37307.0,37307,37307,37307,1,,37307.0,37307.0,37307.0,37307.0,37307.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2018","September, 2018",GSTR-3,81069.0,81069,81069,81069,1,,81069.0,81069.0,81069.0,81069.0,81069.0,50507.0,50507,50507,50507,1,,50507.0,50507.0,50507.0,50507.0,50507.0,23165.0,23165,23165,23165,1,,23165.0,23165.0,23165.0,23165.0,23165.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2018","October, 2018",GSTR-1,39392.0,39392,39392,39392,1,,39392.0,39392.0,39392.0,39392.0,39392.0,6639.0,6639,6639,6639,1,,6639.0,6639.0,6639.0,6639.0,6639.0,19080.0,19080,19080,19080,1,,19080.0,19080.0,19080.0,19080.0,19080.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2019","March, 2020",GSTR-3,7508.0,7508,7508,7508,1,,7508.0,7508.0,7508.0,7508.0,7508.0,710.0,710,710,710,1,,710.0,710.0,710.0,710.0,710.0,5937.0,5937,5937,5937,1,,5937.0,5937.0,5937.0,5937.0,5937.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2018","October, 2018",GSTR-3,82347.0,82347,82347,82347,1,,82347.0,82347.0,82347.0,82347.0,82347.0,48213.0,48213,48213,48213,1,,48213.0,48213.0,48213.0,48213.0,48213.0,26408.0,26408,26408,26408,1,,26408.0,26408.0,26408.0,26408.0,26408.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2018","November, 2018",GSTR-1,39302.0,39302,39302,39302,1,,39302.0,39302.0,39302.0,39302.0,39302.0,7751.0,7751,7751,7751,1,,7751.0,7751.0,7751.0,7751.0,7751.0,18036.0,18036,18036,18036,1,,18036.0,18036.0,18036.0,18036.0,18036.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2018","November, 2018",GSTR-3,83494.0,83494,83494,83494,1,,83494.0,83494.0,83494.0,83494.0,83494.0,50329.0,50329,50329,50329,1,,50329.0,50329.0,50329.0,50329.0,50329.0,24460.0,24460,24460,24460,1,,24460.0,24460.0,24460.0,24460.0,24460.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2018","December, 2018",GSTR-1,84692.0,84692,84692,84692,1,,84692.0,84692.0,84692.0,84692.0,84692.0,13643.0,13643,13643,13643,1,,13643.0,13643.0,13643.0,13643.0,13643.0,56616.0,56616,56616,56616,1,,56616.0,56616.0,56616.0,56616.0,56616.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2018","December, 2018",GSTR-3,84692.0,84692,84692,84692,1,,84692.0,84692.0,84692.0,84692.0,84692.0,52012.0,52012,52012,52012,1,,52012.0,52012.0,52012.0,52012.0,52012.0,23627.0,23627,23627,23627,1,,23627.0,23627.0,23627.0,23627.0,23627.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2018","January, 2019",GSTR-1,38866.0,38866,38866,38866,1,,38866.0,38866.0,38866.0,38866.0,38866.0,7859.0,7859,7859,7859,1,,7859.0,7859.0,7859.0,7859.0,7859.0,18317.0,18317,18317,18317,1,,18317.0,18317.0,18317.0,18317.0,18317.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2020","April, 2020",GSTR-1,7488.0,7488,7488,7488,1,,7488.0,7488.0,7488.0,7488.0,7488.0,1765.0,1765,1765,1765,1,,1765.0,1765.0,1765.0,1765.0,1765.0,893.0,893,893,893,1,,893.0,893.0,893.0,893.0,893.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2018","January, 2019",GSTR-3,86258.0,86258,86258,86258,1,,86258.0,86258.0,86258.0,86258.0,86258.0,38272.0,38272,38272,38272,1,,38272.0,38272.0,38272.0,38272.0,38272.0,38470.0,38470,38470,38470,1,,38470.0,38470.0,38470.0,38470.0,38470.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2018","February, 2019",GSTR-1,38756.0,38756,38756,38756,1,,38756.0,38756.0,38756.0,38756.0,38756.0,7700.0,7700,7700,7700,1,,7700.0,7700.0,7700.0,7700.0,7700.0,18508.0,18508,18508,18508,1,,18508.0,18508.0,18508.0,18508.0,18508.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2018","February, 2019",GSTR-3,87367.0,87367,87367,87367,1,,87367.0,87367.0,87367.0,87367.0,87367.0,58457.0,58457,58457,58457,1,,58457.0,58457.0,58457.0,58457.0,58457.0,19053.0,19053,19053,19053,1,,19053.0,19053.0,19053.0,19053.0,19053.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2018","March, 2019",GSTR-1,88878.0,88878,88878,88878,1,,88878.0,88878.0,88878.0,88878.0,88878.0,11122.0,11122,11122,11122,1,,11122.0,11122.0,11122.0,11122.0,11122.0,60196.0,60196,60196,60196,1,,60196.0,60196.0,60196.0,60196.0,60196.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2018","March, 2019",GSTR-3,88878.0,88878,88878,88878,1,,88878.0,88878.0,88878.0,88878.0,88878.0,42179.0,42179,42179,42179,1,,42179.0,42179.0,42179.0,42179.0,42179.0,36260.0,36260,36260,36260,1,,36260.0,36260.0,36260.0,36260.0,36260.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2019","April, 2019",GSTR-1,48072.0,48072,48072,48072,1,,48072.0,48072.0,48072.0,48072.0,48072.0,6997.0,6997,6997,6997,1,,6997.0,6997.0,6997.0,6997.0,6997.0,20088.0,20088,20088,20088,1,,20088.0,20088.0,20088.0,20088.0,20088.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2020","April, 2020",GSTR-3,7507.0,7507,7507,7507,1,,7507.0,7507.0,7507.0,7507.0,7507.0,1112.0,1112,1112,1112,1,,1112.0,1112.0,1112.0,1112.0,1112.0,5481.0,5481,5481,5481,1,,5481.0,5481.0,5481.0,5481.0,5481.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2019","April, 2019",GSTR-3,89187.0,89187,89187,89187,1,,89187.0,89187.0,89187.0,89187.0,89187.0,53407.0,53407,53407,53407,1,,53407.0,53407.0,53407.0,53407.0,53407.0,24907.0,24907,24907,24907,1,,24907.0,24907.0,24907.0,24907.0,24907.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2019","May, 2019",GSTR-1,46923.0,46923,46923,46923,1,,46923.0,46923.0,46923.0,46923.0,46923.0,6739.0,6739,6739,6739,1,,6739.0,6739.0,6739.0,6739.0,6739.0,20468.0,20468,20468,20468,1,,20468.0,20468.0,20468.0,20468.0,20468.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2019","May, 2019",GSTR-3,90152.0,90152,90152,90152,1,,90152.0,90152.0,90152.0,90152.0,90152.0,55801.0,55801,55801,55801,1,,55801.0,55801.0,55801.0,55801.0,55801.0,23273.0,23273,23273,23273,1,,23273.0,23273.0,23273.0,23273.0,23273.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2019","June, 2019",GSTR-1,90874.0,90874,90874,90874,1,,90874.0,90874.0,90874.0,90874.0,90874.0,24941.0,24941,24941,24941,1,,24941.0,24941.0,24941.0,24941.0,24941.0,48137.0,48137,48137,48137,1,,48137.0,48137.0,48137.0,48137.0,48137.0
