,state,date,Settlement of Integrated goods and services tax ( IGST )
0,jammu and kashmir,2017-08-01,81.5918260846
1,jammu and kashmir,2017-09-01,139.4445443247
2,jammu and kashmir,2017-10-01,191.5394900521
3,jammu and kashmir,2017-11-01,204.6872825997
4,jammu and kashmir,2017-12-01,182.6248719643
5,jammu and kashmir,2018-01-01,219.6190167414
6,jammu and kashmir,2018-02-01,176.4471233137
7,jammu and kashmir,2018-03-01,174.9100045134
8,jammu and kashmir,2018-04-01,204.9571299441
9,jammu and kashmir,2018-05-01,192.5733204992
10,jammu and kashmir,2018-06-01,213.4166295067
11,jammu and kashmir,2018-07-01,213.0247978182
12,jammu and kashmir,2018-08-01,220.8434880253
13,jammu and kashmir,2018-09-01,216.1103333975
14,jammu and kashmir,2018-10-01,221.094746396
15,jammu and kashmir,2018-11-01,259.7697819486
16,jammu and kashmir,2018-12-01,228.0501976068
17,jammu and kashmir,2019-01-01,221.7919699574
18,jammu and kashmir,2019-02-01,163.7084047372
19,jammu and kashmir,2019-03-01,263.2329414993
20,jammu and kashmir,2019-04-01,246.9701615879
21,jammu and kashmir,2019-05-01,240.0031548572
22,jammu and kashmir,2019-06-01,265.7845636221
23,jammu and kashmir,2019-07-01,278.9230624003
24,jammu and kashmir,2019-08-01,165.7316093525
25,jammu and kashmir,2019-09-01,121.5009776129
26,jammu and kashmir,2019-10-01,125.0117842796
27,jammu and kashmir,2019-11-01,194.4847406641
28,jammu and kashmir,2019-12-01,337.4545549577
29,jammu and kashmir,2020-01-01,267.0292565317
30,jammu and kashmir,2020-02-01,249.9119964977
31,jammu and kashmir,2020-03-01,207.1536801344
32,jammu and kashmir,2020-04-01,32.69
33,jammu and kashmir,2020-05-01,101.31
34,jammu and kashmir,2020-06-01,144.0
35,jammu and kashmir,2020-07-01,277.354471841
36,jammu and kashmir,2020-08-01,238.844346009
37,jammu and kashmir,2020-09-01,293.845225273
38,jammu and kashmir,2020-10-01,401.258447338
39,jammu and kashmir,2020-11-01,299.749336191
40,jammu and kashmir,2020-12-01,311.411794745
41,jammu and kashmir,2021-01-01,290.923992
42,jammu and kashmir,2021-02-01,243.669495542
43,jammu and kashmir,2021-03-01,251.48657466
44,jammu and kashmir,2021-04-01,364.379359451
45,jammu and kashmir,2021-05-01,181.405530964
46,jammu and kashmir,2021-06-01,246.869929699
47,jammu and kashmir,2021-07-01,431.257782373
48,jammu and kashmir,2021-08-01,378.824326552
49,jammu and kashmir,2021-09-01,350.445064012
50,jammu and kashmir,2021-10-01,337.461065639
51,jammu and kashmir,2021-11-01,343.882678289
52,jammu and kashmir,2021-12-01,305.476158497
53,jammu and kashmir,2022-01-01,405.974306203
54,jammu and kashmir,2022-02-01,304.340633362
55,jammu and kashmir,2022-03-01,332.055667398
56,jammu and kashmir,2022-04-01,429.400351476
57,jammu and kashmir,2022-05-01,340.747415491
58,jammu and kashmir,2022-06-01,360.83231975
59,himachal pradesh,2017-08-01,63.515337668
60,himachal pradesh,2017-09-01,68.5992304
61,himachal pradesh,2017-10-01,75.951647506
62,himachal pradesh,2017-11-01,107.9755191
63,himachal pradesh,2017-12-01,91.6474698
64,himachal pradesh,2018-01-01,105.6253327
65,himachal pradesh,2018-02-01,89.3946239
66,himachal pradesh,2018-03-01,89.8820517
67,himachal pradesh,2018-04-01,100.0167996
68,himachal pradesh,2018-05-01,85.8309654
69,himachal pradesh,2018-06-01,120.3761358
70,himachal pradesh,2018-07-01,108.2997529
71,himachal pradesh,2018-08-01,103.986185991
72,himachal pradesh,2018-09-01,102.9907702
73,himachal pradesh,2018-10-01,94.861841
74,himachal pradesh,2018-11-01,124.6440379
75,himachal pradesh,2018-12-01,115.7950392
76,himachal pradesh,2019-01-01,104.6438089
77,himachal pradesh,2019-02-01,100.176648125
78,himachal pradesh,2019-03-01,91.0478619
79,himachal pradesh,2019-04-01,115.6907851
80,himachal pradesh,2019-05-01,129.4196465
81,himachal pradesh,2019-06-01,137.0526634
82,himachal pradesh,2019-07-01,155.9223141
83,himachal pradesh,2019-08-01,123.6053124449
84,himachal pradesh,2019-09-01,156.2582484
85,himachal pradesh,2019-10-01,112.3441054
86,himachal pradesh,2019-11-01,181.1541832
87,himachal pradesh,2019-12-01,149.0
88,himachal pradesh,2020-01-01,140.0
89,himachal pradesh,2020-02-01,137.0
90,himachal pradesh,2020-03-01,131.708029
91,himachal pradesh,2020-04-01,13.61
92,himachal pradesh,2020-05-01,45.92
93,himachal pradesh,2020-06-01,79.4
94,himachal pradesh,2020-07-01,166.388350928
95,himachal pradesh,2020-08-01,157.447418716
96,himachal pradesh,2020-09-01,167.951812362
97,himachal pradesh,2020-10-01,207.213147363
98,himachal pradesh,2020-11-01,167.548641753
99,himachal pradesh,2020-12-01,198.760102492
100,himachal pradesh,2021-01-01,183.702718143
101,himachal pradesh,2021-02-01,130.659894341
102,himachal pradesh,2021-03-01,120.930031504
103,himachal pradesh,2021-04-01,232.039559278
104,himachal pradesh,2021-05-01,77.097243507
105,himachal pradesh,2021-06-01,129.259089355
106,himachal pradesh,2021-07-01,291.803914669
107,himachal pradesh,2021-08-01,224.673427581
108,himachal pradesh,2021-09-01,195.562854166
109,himachal pradesh,2021-10-01,230.621708585
110,himachal pradesh,2021-11-01,216.701358812
111,himachal pradesh,2021-12-01,174.679550188
112,himachal pradesh,2022-01-01,256.521663692
113,himachal pradesh,2022-02-01,169.668184844
114,himachal pradesh,2022-03-01,203.675094714
115,himachal pradesh,2022-04-01,302.2285724
116,himachal pradesh,2022-05-01,242.847638588
117,himachal pradesh,2022-06-01,206.568407855
118,punjab,2017-08-01,277.15933738
119,punjab,2017-09-01,449.5899493
120,punjab,2017-10-01,478.661802838
121,punjab,2017-11-01,488.6274136
122,punjab,2017-12-01,466.5992976
123,punjab,2018-01-01,525.9906628
124,punjab,2018-02-01,498.9236344
125,punjab,2018-03-01,478.4475321
126,punjab,2018-04-01,516.8904599
127,punjab,2018-05-01,382.5705363
128,punjab,2018-06-01,472.6300906
129,punjab,2018-07-01,503.5001097
130,punjab,2018-08-01,474.052911374
131,punjab,2018-09-01,533.6120118
132,punjab,2018-10-01,499.6108604
133,punjab,2018-11-01,445.9062022
134,punjab,2018-12-01,510.330392
135,punjab,2019-01-01,486.3315549
136,punjab,2019-02-01,512.907797568
137,punjab,2019-03-01,478.8259071
138,punjab,2019-04-01,533.6755551
139,punjab,2019-05-01,498.3376177
140,punjab,2019-06-01,468.7935831
141,punjab,2019-07-01,717.3870302
142,punjab,2019-08-01,519.5042362722
143,punjab,2019-09-01,562.9245878
144,punjab,2019-10-01,449.4191705
145,punjab,2019-11-01,541.5681827
146,punjab,2019-12-01,501.0
147,punjab,2020-01-01,625.0
148,punjab,2020-02-01,619.7
149,punjab,2020-03-01,528.5938859
150,punjab,2020-04-01,54.34
151,punjab,2020-05-01,273.36
152,punjab,2020-06-01,361.6
153,punjab,2020-07-01,613.746691192
154,punjab,2020-08-01,530.117244209
155,punjab,2020-09-01,571.507300892
156,punjab,2020-10-01,522.762813411
157,punjab,2020-11-01,518.960216997
158,punjab,2020-12-01,535.529318074
159,punjab,2021-01-01,619.657995701
160,punjab,2021-02-01,543.027682403
161,punjab,2021-03-01,576.981817316
162,punjab,2021-04-01,753.154644277
163,punjab,2021-05-01,409.218982642
164,punjab,2021-06-01,676.754112921
165,punjab,2021-07-01,858.179364068
166,punjab,2021-08-01,848.691649154
167,punjab,2021-09-01,798.011615012
168,punjab,2021-10-01,628.57483798
169,punjab,2021-11-01,672.825631121
170,punjab,2021-12-01,647.742470221
171,punjab,2022-01-01,813.976837399
172,punjab,2022-02-01,790.153941952
173,punjab,2022-03-01,749.282965257
174,punjab,2022-04-01,947.102136475
175,punjab,2022-05-01,747.087365159
176,punjab,2022-06-01,750.222646842
177,chandigarh,2017-08-01,34.907894399
178,chandigarh,2017-09-01,56.4019194
179,chandigarh,2017-10-01,64.695050165
180,chandigarh,2017-11-01,57.516165
181,chandigarh,2017-12-01,60.3601771
182,chandigarh,2018-01-01,63.5817111
183,chandigarh,2018-02-01,56.8274966
184,chandigarh,2018-03-01,59.4119343
185,chandigarh,2018-04-01,67.1868713
186,chandigarh,2018-05-01,52.4781904
187,chandigarh,2018-06-01,63.2744606
188,chandigarh,2018-07-01,68.8439899
189,chandigarh,2018-08-01,72.287204008
190,chandigarh,2018-09-01,63.7089739
191,chandigarh,2018-10-01,66.8343376
192,chandigarh,2018-11-01,73.3440671
193,chandigarh,2018-12-01,75.2340284
194,chandigarh,2019-01-01,70.5782546
195,chandigarh,2019-02-01,68.690290554
196,chandigarh,2019-03-01,66.5564157
197,chandigarh,2019-04-01,65.3740886
198,chandigarh,2019-05-01,75.1019699
199,chandigarh,2019-06-01,64.9192522
200,chandigarh,2019-07-01,66.1137735
201,chandigarh,2019-08-01,60.9759898589
202,chandigarh,2019-09-01,67.4717687
203,chandigarh,2019-10-01,57.9297598
204,chandigarh,2019-11-01,85.1474176
205,chandigarh,2019-12-01,64.0
206,chandigarh,2020-01-01,86.0
207,chandigarh,2020-02-01,71.5
208,chandigarh,2020-03-01,60.8701632
209,chandigarh,2020-04-01,4.58
210,chandigarh,2020-05-01,21.47
211,chandigarh,2020-06-01,36.1
212,chandigarh,2020-07-01,71.377330648
213,chandigarh,2020-08-01,57.8358117
214,chandigarh,2020-09-01,68.856405416
215,chandigarh,2020-10-01,57.15096026
216,chandigarh,2020-11-01,70.30211254
217,chandigarh,2020-12-01,81.943633644
218,chandigarh,2021-01-01,72.728780466
219,chandigarh,2021-02-01,67.981865328
220,chandigarh,2021-03-01,73.154576404
221,chandigarh,2021-04-01,96.329720944
222,chandigarh,2021-05-01,40.327285741
223,chandigarh,2021-06-01,54.040339598
224,chandigarh,2021-07-01,93.584254612
225,chandigarh,2021-08-01,102.597321994
226,chandigarh,2021-09-01,91.465108042
227,chandigarh,2021-10-01,92.280232048
228,chandigarh,2021-11-01,102.87332026
229,chandigarh,2021-12-01,81.997319232
230,chandigarh,2022-01-01,117.897506564
231,chandigarh,2022-02-01,88.049452377
232,chandigarh,2022-03-01,104.545366688
233,chandigarh,2022-04-01,114.52155706
234,chandigarh,2022-05-01,107.931947338
235,chandigarh,2022-06-01,96.341687288
236,uttarakhand,2017-08-01,-40.988784233
237,uttarakhand,2017-09-01,-21.5711008
238,uttarakhand,2017-10-01,-9.868357559
239,uttarakhand,2017-11-01,27.9778129
240,uttarakhand,2017-12-01,38.1013922
241,uttarakhand,2018-01-01,80.0718263
242,uttarakhand,2018-02-01,23.0583717
243,uttarakhand,2018-03-01,8.125983
244,manipur,2019-12-01,70.0
245,uttarakhand,2018-04-01,-10.3877931
246,uttarakhand,2018-05-01,-5.5165237
247,uttarakhand,2018-06-01,17.0019006
248,uttarakhand,2018-07-01,3.589928
249,uttarakhand,2018-08-01,0.096009885
250,uttarakhand,2018-09-01,20.5066223
251,uttarakhand,2018-10-01,5.8788183
252,uttarakhand,2018-11-01,66.8565171
253,uttarakhand,2018-12-01,101.0666406
254,uttarakhand,2019-01-01,40.9664712
255,uttarakhand,2019-02-01,-48.008395976
256,uttarakhand,2019-03-01,31.5674803
257,uttarakhand,2019-04-01,71.3555027
258,uttarakhand,2019-05-01,92.1079007
259,uttarakhand,2019-06-01,75.3313238
260,uttarakhand,2019-07-01,109.8046239
261,uttarakhand,2019-08-01,55.8115020416
262,uttarakhand,2019-09-01,105.7922652
263,uttarakhand,2019-10-01,-30.4508547
264,uttarakhand,2019-11-01,76.1937298
265,uttarakhand,2019-12-01,42.0
266,uttarakhand,2020-01-01,109.0
267,uttarakhand,2020-02-01,94.5
268,uttarakhand,2020-03-01,70.09206
269,uttarakhand,2020-04-01,25.81
270,uttarakhand,2020-05-01,30.83
271,uttarakhand,2020-06-01,111.4
272,uttarakhand,2020-07-01,63.660089459
273,uttarakhand,2020-08-01,92.259545591
274,uttarakhand,2020-09-01,113.718733419
275,uttarakhand,2020-10-01,59.448193727
276,uttarakhand,2020-11-01,85.018922688
277,uttarakhand,2020-12-01,120.200496312
278,uttarakhand,2021-01-01,110.355268239
279,uttarakhand,2021-02-01,118.973519362
280,uttarakhand,2021-03-01,82.818503142
281,uttarakhand,2021-04-01,160.686911248
282,uttarakhand,2021-05-01,88.136366473
283,uttarakhand,2021-06-01,136.923562365
284,uttarakhand,2021-07-01,208.610111042
285,uttarakhand,2021-08-01,177.294401823
286,uttarakhand,2021-09-01,150.361463485
287,uttarakhand,2021-10-01,143.339644357
288,uttarakhand,2021-11-01,190.043065945
289,uttarakhand,2021-12-01,116.751529091
290,uttarakhand,2022-01-01,179.378286121
291,uttarakhand,2022-02-01,204.853345919
292,uttarakhand,2022-03-01,175.671843787
293,uttarakhand,2022-04-01,177.804409323
294,uttarakhand,2022-05-01,175.126116741
295,uttarakhand,2022-06-01,164.936710003
296,haryana,2017-08-01,-286.673182849
297,haryana,2017-09-01,113.7607823
298,haryana,2017-10-01,232.712874386
299,haryana,2017-11-01,152.6402818
300,haryana,2017-12-01,380.4468636
301,haryana,2018-01-01,351.9916294
302,haryana,2018-02-01,402.4962071
303,haryana,2018-03-01,294.2518196
304,haryana,2018-04-01,375.4189455
305,haryana,2018-05-01,312.4327255
306,haryana,2018-06-01,309.6503271
307,haryana,2018-07-01,401.4700484
308,haryana,2018-08-01,229.155581746
309,haryana,2018-09-01,210.1351327
310,haryana,2018-10-01,282.2514065
311,haryana,2018-11-01,314.2754745
312,haryana,2018-12-01,411.3936931
313,haryana,2019-01-01,397.3997177
314,haryana,2019-02-01,364.233887928
315,haryana,2019-03-01,268.8293322
316,haryana,2019-04-01,377.3029202
317,haryana,2019-05-01,376.212026
318,haryana,2019-06-01,-150.5338747
319,haryana,2019-07-01,753.0114249
320,haryana,2019-08-01,553.515336052
321,haryana,2019-09-01,508.1360717
322,haryana,2019-10-01,375.1060864
323,haryana,2019-11-01,583.8420274
324,haryana,2019-12-01,403.0
325,haryana,2020-01-01,400.0
326,haryana,2020-02-01,429.7
327,haryana,2020-03-01,324.0144716
328,haryana,2020-04-01,-15.77
329,haryana,2020-05-01,345.25
330,haryana,2020-06-01,521.7
331,haryana,2020-07-01,667.011314796
332,haryana,2020-08-01,513.174247411
333,haryana,2020-09-01,535.036155153
334,haryana,2020-10-01,1368.219226804
335,haryana,2020-11-01,277.046678459
336,haryana,2020-12-01,472.2071279
337,haryana,2021-01-01,640.137751964
338,haryana,2021-02-01,394.000674877
339,haryana,2021-03-01,399.107450717
340,haryana,2021-04-01,827.75992501
341,haryana,2021-05-01,241.320519549
342,haryana,2021-06-01,988.487408234
343,haryana,2021-07-01,846.854303698
344,haryana,2021-08-01,1008.07503399
345,haryana,2021-09-01,868.595986759
346,haryana,2021-10-01,1075.604928236
347,haryana,2021-11-01,787.776513116
348,haryana,2021-12-01,631.587313074
349,haryana,2022-01-01,9.252825855
350,haryana,2022-02-01,724.894983379
351,haryana,2022-03-01,685.830601709
352,haryana,2022-04-01,1078.802043008
353,haryana,2022-05-01,703.117997803
354,haryana,2022-06-01,836.457515699
355,delhi,2017-08-01,448.411678126
356,delhi,2017-09-01,641.0952109
357,delhi,2017-10-01,752.272137476
358,delhi,2017-11-01,750.6795871
359,delhi,2017-12-01,695.9459706
360,delhi,2018-01-01,616.194482
361,delhi,2018-02-01,509.6861896
362,delhi,2018-03-01,510.6561364
363,delhi,2018-04-01,743.8910517
364,delhi,2018-05-01,367.3404058
365,delhi,2018-06-01,414.0696303
366,delhi,2018-07-01,569.4420121
367,delhi,2018-08-01,418.976097876
368,delhi,2018-09-01,471.9096626
369,delhi,2018-10-01,529.5080801
370,delhi,2018-11-01,558.747481
371,delhi,2018-12-01,361.2023161
372,delhi,2019-01-01,420.6209753
373,delhi,2019-02-01,633.638460176
374,delhi,2019-03-01,389.7312539
375,delhi,2019-04-01,661.2796826
376,delhi,2019-05-01,276.471911
377,delhi,2019-06-01,529.7163915
378,delhi,2019-07-01,734.5120078
379,delhi,2019-08-01,586.6456671054
380,delhi,2019-09-01,113.621781
381,delhi,2019-10-01,630.3998022
382,delhi,2019-11-01,635.6499303
383,delhi,2019-12-01,730.0
384,delhi,2020-01-01,1057.0
385,delhi,2020-02-01,645.4
386,delhi,2020-03-01,603.8710464
387,delhi,2020-04-01,80.07
388,delhi,2020-05-01,585.58
389,delhi,2020-06-01,329.0
390,delhi,2020-07-01,685.134668004
391,delhi,2020-08-01,528.082148778
392,delhi,2020-09-01,481.728342803
393,delhi,2020-10-01,613.025953265
394,delhi,2020-11-01,444.102217129
395,delhi,2020-12-01,412.10795054
396,delhi,2021-01-01,562.665379519
397,delhi,2021-02-01,606.237627248
398,delhi,2021-03-01,752.251338119
399,delhi,2021-04-01,949.766858041
400,delhi,2021-05-01,366.986120951
401,delhi,2021-06-01,366.505834803
402,delhi,2021-07-01,637.415448191
403,delhi,2021-08-01,1076.242741639
404,delhi,2021-09-01,1127.323676903
405,delhi,2021-10-01,848.968726799
406,delhi,2021-11-01,1011.182270962
407,delhi,2021-12-01,1054.348419214
408,delhi,2022-01-01,1123.26658052
409,delhi,2022-02-01,817.31172454
410,delhi,2022-03-01,1206.101620547
411,delhi,2022-04-01,1319.309726888
412,delhi,2022-05-01,1024.377105033
413,manipur,2020-01-01,50.0
414,delhi,2022-06-01,800.385126317
415,rajasthan,2017-08-01,403.370320584
416,rajasthan,2017-09-01,573.7301801
417,rajasthan,2017-10-01,641.200370076
418,rajasthan,2017-11-01,684.0857072
419,rajasthan,2017-12-01,758.1343006
420,rajasthan,2018-01-01,679.0114866
421,rajasthan,2018-02-01,672.8339427
422,rajasthan,2018-03-01,713.4454286
423,rajasthan,2018-04-01,723.6805628
424,rajasthan,2018-05-01,599.1164338
425,rajasthan,2018-06-01,843.3127965
426,rajasthan,2018-07-01,816.2348046
427,rajasthan,2018-08-01,758.637763988
428,rajasthan,2018-09-01,739.3332587
429,rajasthan,2018-10-01,885.437483
430,rajasthan,2018-11-01,873.4241577
431,rajasthan,2018-12-01,793.6544821
432,rajasthan,2019-01-01,798.9317657
433,rajasthan,2019-02-01,864.400742558
434,rajasthan,2019-03-01,696.0475899
435,rajasthan,2019-04-01,731.8725294
436,rajasthan,2019-05-01,787.5825821
437,rajasthan,2019-06-01,784.5244465
438,rajasthan,2019-07-01,970.1106343
439,rajasthan,2019-08-01,770.7176990309
440,rajasthan,2019-09-01,771.8381755
441,rajasthan,2019-10-01,649.6740393
442,rajasthan,2019-11-01,882.9124448
443,rajasthan,2019-12-01,786.0
444,rajasthan,2020-01-01,838.0
445,rajasthan,2020-02-01,765.5
446,rajasthan,2020-03-01,683.2764346
447,rajasthan,2020-04-01,113.55
448,rajasthan,2020-05-01,332.77
449,rajasthan,2020-06-01,539.0
450,rajasthan,2020-07-01,905.988952007
451,rajasthan,2020-08-01,852.966209215
452,rajasthan,2020-09-01,861.228413168
453,rajasthan,2020-10-01,885.8902165
454,rajasthan,2020-11-01,874.651700938
455,rajasthan,2020-12-01,918.811541052
456,rajasthan,2021-01-01,939.323311724
457,rajasthan,2021-02-01,861.50849482
458,rajasthan,2021-03-01,821.815820561
459,rajasthan,2021-04-01,1115.938343867
460,rajasthan,2021-05-01,566.56886968
461,rajasthan,2021-06-01,810.925069549
462,rajasthan,2021-07-01,1307.051629952
463,rajasthan,2021-08-01,1185.343380745
464,tripura,2020-01-01,49.0
465,rajasthan,2021-09-01,1177.362645752
466,rajasthan,2021-10-01,1334.570045051
467,rajasthan,2021-11-01,1287.383704928
468,rajasthan,2021-12-01,1085.652930585
469,rajasthan,2022-01-01,1336.733168754
470,rajasthan,2022-02-01,1208.146060658
471,rajasthan,2022-03-01,1258.398021167
472,rajasthan,2022-04-01,1581.310600256
473,rajasthan,2022-05-01,1325.170223326
474,rajasthan,2022-06-01,1291.797579056
475,uttar pradesh,2017-08-01,1553.760259468
476,uttar pradesh,2017-09-01,1195.1561722
477,uttar pradesh,2017-10-01,1513.418243806
478,uttar pradesh,2017-11-01,1689.8046624
479,uttar pradesh,2017-12-01,1637.8167242
480,uttar pradesh,2018-01-01,1686.5370237
481,uttar pradesh,2018-02-01,1581.4593474
482,uttar pradesh,2018-03-01,1637.9542435
483,uttar pradesh,2018-04-01,1686.7533992
484,uttar pradesh,2018-05-01,1624.6411031
485,uttar pradesh,2018-06-01,1856.1465847
486,uttar pradesh,2018-07-01,1865.6780974
487,uttar pradesh,2018-08-01,1604.037983908
488,uttar pradesh,2018-09-01,1603.5904844
489,uttar pradesh,2018-10-01,1711.4685635
490,uttar pradesh,2018-11-01,1881.7312593
491,uttar pradesh,2018-12-01,1995.0490571
492,uttar pradesh,2019-01-01,1831.132357
493,uttar pradesh,2019-02-01,1843.5621703
494,uttar pradesh,2019-03-01,1727.3342798
495,uttar pradesh,2019-04-01,2074.4838876
496,uttar pradesh,2019-05-01,2102.2960964
497,uttar pradesh,2019-06-01,2045.3950212
498,uttar pradesh,2019-07-01,2386.834085
499,uttar pradesh,2019-08-01,1854.0769833196
500,uttar pradesh,2019-09-01,1919.5323761
501,uttar pradesh,2019-10-01,1692.9054602
502,uttar pradesh,2019-11-01,2210.5617686
503,uttar pradesh,2019-12-01,1945.0
504,uttar pradesh,2020-01-01,2223.0
505,uttar pradesh,2020-02-01,2029.5
506,uttar pradesh,2020-03-01,1879.5972397
507,uttar pradesh,2020-04-01,318.24
508,uttar pradesh,2020-05-01,990.99
509,uttar pradesh,2020-06-01,1218.2
510,uttar pradesh,2020-07-01,2320.861170064
511,uttar pradesh,2020-08-01,1838.222329064
512,uttar pradesh,2020-09-01,1984.44
513,uttar pradesh,2020-10-01,2018.45897393
514,uttar pradesh,2020-11-01,1940.065290761
515,uttar pradesh,2020-12-01,2357.262549275
516,uttar pradesh,2021-01-01,2365.827357737
517,uttar pradesh,2021-02-01,2153.635754991
518,uttar pradesh,2021-03-01,2074.11716072
519,uttar pradesh,2021-04-01,2683.160134532
520,uttar pradesh,2021-05-01,1552.767772042
521,uttar pradesh,2021-06-01,2106.472603963
522,uttar pradesh,2021-07-01,2849.881944962
523,uttar pradesh,2021-08-01,2602.920108229
524,uttar pradesh,2021-09-01,2631.7310909
525,uttar pradesh,2021-10-01,2205.060391985
526,uttar pradesh,2021-11-01,2587.506704544
527,uttar pradesh,2021-12-01,2418.513844112
528,uttar pradesh,2022-01-01,2771.142702466
529,uttar pradesh,2022-02-01,2777.030548129
530,uttar pradesh,2022-03-01,2689.377020548
531,uttar pradesh,2022-04-01,3338.011054287
532,uttar pradesh,2022-05-01,2923.570951139
533,uttar pradesh,2022-06-01,3007.221789242
534,bihar,2017-08-01,275.497499878
535,bihar,2017-09-01,346.1348191
536,bihar,2017-10-01,491.633240924
537,bihar,2017-11-01,528.4421554
538,bihar,2017-12-01,565.2158053
539,bihar,2018-01-01,537.1072582
540,bihar,2018-02-01,549.8922631
541,bihar,2018-03-01,538.0330477
542,bihar,2018-04-01,598.092804
543,bihar,2018-05-01,618.2494194
544,bihar,2018-06-01,719.0849117
545,bihar,2018-07-01,737.1209273
546,bihar,2018-08-01,704.905572752
547,bihar,2018-09-01,665.8862915
548,bihar,2018-10-01,771.1461478
549,bihar,2018-11-01,709.5895733
550,bihar,2018-12-01,706.1889646
551,bihar,2019-01-01,740.3348506
552,bihar,2019-02-01,702.679457227
553,bihar,2019-03-01,694.7791013
554,bihar,2019-04-01,797.2068401
555,bihar,2019-05-01,721.1496962
556,bihar,2019-06-01,874.2063449
557,bihar,2019-07-01,904.8029364
558,bihar,2019-08-01,719.3516848781
559,bihar,2019-09-01,692.0882344
560,bihar,2019-10-01,667.3727092
561,bihar,2019-11-01,847.9288414
562,bihar,2019-12-01,801.0
563,bihar,2020-01-01,823.0
564,bihar,2020-02-01,812.9
565,bihar,2020-03-01,797.6935681
566,bihar,2020-04-01,104.59
567,bihar,2020-05-01,422.53
568,bihar,2020-06-01,539.1
569,bihar,2020-07-01,1057.599333906
570,bihar,2020-08-01,758.693496077
571,bihar,2020-09-01,992.118986217
572,bihar,2020-10-01,1057.775453075
573,bihar,2020-11-01,887.69439854
574,bihar,2020-12-01,992.867314056
575,bihar,2021-01-01,1027.555076961
576,bihar,2021-02-01,886.629970258
577,bihar,2021-03-01,876.300903448
578,bihar,2021-04-01,1090.861427861
579,bihar,2021-05-01,682.710201888
580,bihar,2021-06-01,853.072148509
581,bihar,2021-07-01,1355.186562329
582,bihar,2021-08-01,1147.203221315
583,bihar,2021-09-01,968.127112574
584,bihar,2021-10-01,997.53719356
585,bihar,2021-11-01,1030.136460557
586,bihar,2021-12-01,919.684215128
587,bihar,2022-01-01,1114.594325185
588,bihar,2022-02-01,1048.972749475
589,bihar,2022-03-01,1097.910405706
590,bihar,2022-04-01,1289.992400535
591,bihar,2022-05-01,1211.531818874
592,bihar,2022-06-01,1316.49729024
593,sikkim,2017-08-01,5.263705756
594,sikkim,2017-09-01,6.7459503
595,sikkim,2017-10-01,6.138237103
596,sikkim,2017-11-01,10.4368823
597,sikkim,2017-12-01,10.7436212
598,sikkim,2018-01-01,10.7411793
599,sikkim,2018-02-01,10.2224175
600,sikkim,2018-03-01,16.2146242
601,sikkim,2018-04-01,12.1094438
602,sikkim,2018-05-01,11.9994817
603,sikkim,2018-06-01,15.3343435
604,sikkim,2018-07-01,19.7864869
605,sikkim,2018-08-01,18.856835754
606,sikkim,2018-09-01,11.9705863
607,sikkim,2018-10-01,16.6696853
608,sikkim,2018-11-01,14.3465653
609,sikkim,2018-12-01,13.8239678
610,sikkim,2019-01-01,14.868077
611,sikkim,2019-02-01,16.289463367
612,sikkim,2019-03-01,18.8460144
613,sikkim,2019-04-01,23.936261
614,sikkim,2019-05-01,27.2661604
615,sikkim,2019-06-01,18.1261324
616,sikkim,2019-07-01,18.5930133
617,sikkim,2019-08-01,20.7558150068
618,sikkim,2019-09-01,27.2048445
619,sikkim,2019-10-01,18.3750327
620,sikkim,2019-11-01,25.7355199
621,sikkim,2019-12-01,22.0
622,sikkim,2020-01-01,17.0
623,sikkim,2020-02-01,20.2
624,sikkim,2020-03-01,20.3704567
625,sikkim,2020-04-01,1.54
626,sikkim,2020-05-01,4.96
627,sikkim,2020-06-01,10.9
628,sikkim,2020-07-01,20.147174542
629,sikkim,2020-08-01,15.325187467
630,sikkim,2020-09-01,20.584896011
631,sikkim,2020-10-01,25.92302711
632,sikkim,2020-11-01,23.637319237
633,sikkim,2020-12-01,23.308813382
634,sikkim,2021-01-01,27.546195
635,sikkim,2021-02-01,23.361342277
636,sikkim,2021-03-01,21.95860808
637,sikkim,2021-04-01,33.514291444
638,sikkim,2021-05-01,19.230791502
639,sikkim,2021-06-01,19.866406818
640,sikkim,2021-07-01,32.077738249
641,sikkim,2021-08-01,32.262943302
642,sikkim,2021-09-01,36.057613873
643,sikkim,2021-10-01,30.692365566
644,sikkim,2021-11-01,31.083046377
645,sikkim,2021-12-01,29.026434769
646,sikkim,2022-01-01,39.883956531
647,sikkim,2022-02-01,33.072003332
648,sikkim,2022-03-01,40.909073313
649,assam,2020-01-01,337.0
650,sikkim,2022-04-01,53.968592934
651,sikkim,2022-05-01,37.242360274
652,sikkim,2022-06-01,38.083138762
653,andhra pradesh,2017-08-01,9.742984068
654,andhra pradesh,2017-09-01,10.3357294
655,andhra pradesh,2017-10-01,13.96429066
656,andhra pradesh,2017-11-01,17.8050581
657,andhra pradesh,2017-12-01,21.69439
658,andhra pradesh,2018-01-01,34.8623447
659,andhra pradesh,2018-02-01,22.9144016
660,andhra pradesh,2018-03-01,21.2078715
661,andhra pradesh,2018-04-01,30.3893955
662,andhra pradesh,2018-05-01,25.5360376
663,andhra pradesh,2018-06-01,33.3908369
664,andhra pradesh,2018-07-01,24.558019
665,andhra pradesh,2018-08-01,30.589216602
666,andhra pradesh,2018-09-01,28.509262
